scenario_key,requirement_id,status,reviewer_id,reviewed_at_utc,notes
bank_loan_application,BL1,provisional,,,
bank_loan_application,BL2,provisional,,,
bank_loan_application,BL3,provisional,,,
bank_loan_application,BL4,provisional,,,
bank_loan_application,BL5,provisional,,,
bank_loan_application,BL6,provisional,,,
bank_loan_application,BL7,provisional,,,
bank_loan_application,BL8,provisional,,,
bank_loan_application,BL9,provisional,,,
bank_loan_application,BL10,provisional,,,
ecommerce_returns,ER1,provisional,,,
ecommerce_returns,ER2,provisional,,,
ecommerce_returns,ER3,provisional,,,
ecommerce_returns,ER4,provisional,,,
ecommerce_returns,ER5,provisional,,,
ecommerce_returns,ER6,provisional,,,
ecommerce_returns,ER7,provisional,,,
ecommerce_returns,ER8,provisional,,,
ecommerce_returns,ER9,provisional,,,
ecommerce_returns,ER10,provisional,,,
employee_leave_management,LM1,provisional,,,
employee_leave_management,LM2,provisional,,,
employee_leave_management,LM3,provisional,,,
employee_leave_management,LM4,provisional,,,
employee_leave_management,LM5,provisional,,,
employee_leave_management,LM6,provisional,,,
employee_leave_management,LM7,provisional,,,
employee_leave_management,LM8,provisional,,,
employee_leave_management,LM9,provisional,,,
employee_leave_management,LM10,provisional,,,
food_delivery_operations,FD1,provisional,,,
food_delivery_operations,FD2,provisional,,,
food_delivery_operations,FD3,provisional,,,
food_delivery_operations,FD4,provisional,,,
food_delivery_operations,FD5,provisional,,,
food_delivery_operations,FD6,provisional,,,
food_delivery_operations,FD7,provisional,,,
food_delivery_operations,FD8,provisional,,,
food_delivery_operations,FD9,provisional,,,
food_delivery_operations,FD10,provisional,,,
hospital_appointment,H1,provisional,,,
hospital_appointment,H2,provisional,,,
hospital_appointment,H3,provisional,,,
hospital_appointment,H4,provisional,,,
hospital_appointment,H5,provisional,,,
hospital_appointment,H6,provisional,,,
hospital_appointment,H7,provisional,,,
hospital_appointment,H8,provisional,,,
hospital_appointment,H9,provisional,,,
hospital_appointment,H10,provisional,,,
hospital_appointment,H11,provisional,,,
hospital_appointment,H12,provisional,,,
hotel_room_booking,HB1,provisional,,,
hotel_room_booking,HB2,provisional,,,
hotel_room_booking,HB3,provisional,,,
hotel_room_booking,HB4,provisional,,,
hotel_room_booking,HB5,provisional,,,
hotel_room_booking,HB6,provisional,,,
hotel_room_booking,HB7,provisional,,,
hotel_room_booking,HB8,provisional,,,
hotel_room_booking,HB9,provisional,,,
hotel_room_booking,HB10,provisional,,,
public_library_management,PL1,provisional,,,
public_library_management,PL2,provisional,,,
public_library_management,PL3,provisional,,,
public_library_management,PL4,provisional,,,
public_library_management,PL5,provisional,,,
public_library_management,PL6,provisional,,,
public_library_management,PL7,provisional,,,
public_library_management,PL8,provisional,,,
public_library_management,PL9,provisional,,,
public_library_management,PL10,provisional,,,
small_business_inventory,I1,provisional,,,
small_business_inventory,I2,provisional,,,
small_business_inventory,I3,provisional,,,
small_business_inventory,I4,provisional,,,
small_business_inventory,I5,provisional,,,
small_business_inventory,I6,provisional,,,
small_business_inventory,I7,provisional,,,
small_business_inventory,I8,provisional,,,
small_business_inventory,I9,provisional,,,
university_course_registration,R1,provisional,,,
university_course_registration,R2,provisional,,,
university_course_registration,R3,provisional,,,
university_course_registration,R4,provisional,,,
university_course_registration,R5,provisional,,,
university_course_registration,R6,provisional,,,
university_course_registration,R7,provisional,,,
university_course_registration,R8,provisional,,,
university_course_registration,R9,provisional,,,
university_course_registration,R10,provisional,,,
vehicle_service_appointment,VS1,provisional,,,
vehicle_service_appointment,VS2,provisional,,,
vehicle_service_appointment,VS3,provisional,,,
vehicle_service_appointment,VS4,provisional,,,
vehicle_service_appointment,VS5,provisional,,,
vehicle_service_appointment,VS6,provisional,,,
vehicle_service_appointment,VS7,provisional,,,
vehicle_service_appointment,VS8,provisional,,,
vehicle_service_appointment,VS9,provisional,,,
